CataID2112033001357 0 24.3043962390786
CataID1104124001959 0 1648.0470705779605
CataID2105232034050 0 143.02825556509114
CataID1129072009726 0 237.8790968861289
CataID1140057012989 0 4878.965470379431
CataID1012079068177 0 33031.08694384036
CataID1146067036779 0 5389.52074255121
CataID2101149011955 0 1228.8829877852008
CataID1107045068696 0 30682.11916753976
CataID1107045068737 0 2366.0664140686795
CataID1143063030020 0 294.3966308500601
CataID1004084002335 0 11280.074994075827
CataID1004084002657 0 58215.5128483758
CataID1121070027752 0 437.8738511509292
CataID3021076026860 0 16914.66867270621
CataID1138034065349 0 123201.83216615795
CataID2111158024190 0 -100
CataID1140032044614 0 -100
CataID1118077042197 0 7301.974226414051
CataID1118076006618 0 27441.38053545007
CataID2125094002288 0 21169.11398162869
CataID2004173030506 0 -100
CataID1101070017576 0 -100
CataID2100180002004 0 7299.081152253676
CataID2100180002192 0 7608.3036940312095
CataID1146035028060 0 5502.13371803364
CataID1112069035503 0 293.43175425783437
CataID1138045049346 0 962.8247225177618
CataID1135014070195 0 1019.0617708102744
CataID1126009049401 0 50617.51510394256
CataID1018025015369 0 11264.995842657328
CataID1132001043721 0 28286.872044471056
CataID1112116024032 0 45567.24414888034
CataID3017025014782 0 -100
CataID2114019013987 0 650.8994074945282
CataID1109002009032 0 207.37369596022702
CataID2112031009841 0 6280.64573777084
CataID2112031009983 0 6154.912373603591
CataID2109149025842 0 69394.123694094
CataID2115040009817 0 -100
CataID2100025017099 0 -100
CataID2103010019251 0 86568.21758657516
CataID1115009050290 0 10485.719043867195
CataID2116023004685 0 3910.8594213940346
CataID2116023004819 0 2534.7513958788777
CataID2116023004858 0 6621.857858545705
CataID1115003016319 0 103.85703771582682
CataID1115010024581 0 82014.26186965882
CataID2118034018658 0 2614.388407979694
CataID1101004036741 0 63044.808424940784
CataID2105029017185 0 7354.630647301063
CataID1132073007893 0 1863.5651073421627
CataID1009076044709 0 18547.423920881956
CataID1004113052076 0 49211.68500402223
CataID2008314009730 0 -100
CataID2012185026484 0 76.75776971333705
CataID1129078043766 0 54459.38093242599
CataID1135076073338 0 37744.769884159774
CataID1135072015163 0 -100
CataID1129047055931 0 25189.554445344173
CataID1143055026125 0 -100
CataID1115070024834 0 300.97720349504084
CataID1143036047755 0 3323.021189062084
CataID1132058004040 0 66131.81357608206
CataID1138051024568 0 268.4716458988317
CataID1132058051358 0 1278.277514077136
CataID2120036009068 0 4901.59107421978
CataID3011082022366 0 7357.524694987546
CataID1123015013547 0 35107.413568210846
CataID1009072002199 0 7491.648247085924
CataID2008321021764 0 7814.24362818548
CataID1009005014663 0 2140.6076954239898
CataID1109020006172 0 13981.633226709218
CataID2015290031798 0 1095.3046691332377
CataID1121007003563 0 114589.5225396997
CataID2113119008983 0 82.36654075163247
CataID1118006025599 0 14251.444321394374
CataID1107003032633 0 109.80031705407075
CataID2102020026442 0 1411.8003607857472
CataID1126039037877 0 48.47734686066815
CataID2126099024076 0 1152.6794856846204
CataID1009006016813 0 1777.2386288003484
CataID2107020014516 0 56652.92791850447
CataID1115066060440 0 7713.4189998600605
CataID2105325014825 0 19627.63473594387
CataID1101080039348 0 16000.603987976545
CataID1004066047336 0 -100
CataID2104326004940 0 -100
CataID1138070002929 0 2710.4366866987543
CataID1112090027727 0 1877.0213066295462
CataID2112231002421 0 3234.856285032457
CataID2016276031739 0 -100
CataID2016276031748 0 622.8733183018207
CataID1115083055484 0 50158.883973609234
CataID1001077019781 0 4476.380107243008
CataID1138049028892 0 -100
CataID1001093094143 0 8952.540456452683
CataID1146061042629 0 1337.530227221606
CataID3021095013207 0 49672.45794163877
CataID3023083020448 0 165.79353666647867
CataID1132073033714 0 3608.50005255223
